qa_id,qa_type,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,cost_usd,elapsed_seconds
q015,aggregation,0.4444444444444444,1.9444444444444444,0.21861111111111112,0.7182777777777778,0.49359121649709237,0.0010327316666666666,14.989785684479607
q016,aggregation,0.1111111111111111,2.1666666666666665,0.23570740740740742,0.5398166666666666,0.3801536067589142,0.0010186755555555557,14.980559362305534
q017,aggregation,0.1111111111111111,2.1666666666666665,0.44023148148148145,0.5316666666666667,0.36106273877453554,0.0020208194444444444,18.350548399819267
q018,aggregation,0.4444444444444444,3.388888888888889,0.404,0.25477777777777777,0.4233677545108778,0.001622935,12.286291347609627
q019,aggregation,0.16666666666666666,2.8333333333333335,0.385,0.3368333333333333,0.4235670132698282,0.0013058683333333333,13.018196516566807
q005,comparative,0.5,3.4444444444444446,0.2762425925925926,0.17820987654320988,0.2764386163033938,0.0010624716666666667,16.192271298832363
q006,comparative,0.3888888888888889,3.111111111111111,0.2718333333333333,0.28111111111111114,0.24778867509941233,0.0009398150000000001,13.344866302278307
q007,comparative,0.3888888888888889,3.111111111111111,0.3646888888888889,0.29888888888888887,0.2577136486500574,0.0022472955555555554,15.409733374913534
q008,comparative,0.5,3.388888888888889,0.3111111111111111,0.29133333333333333,0.3144558829949484,0.0018818172222222222,14.74360289838579
q009,comparative,0.16666666666666666,2.3333333333333335,0.3375,0.4753333333333333,0.362584454607727,0.0009896905555555554,17.11159360408783
q000,multihop,0.7777777777777778,4.0,0.217,0.2783333333333333,0.3761994942169957,0.0007197572222222222,9.67398915025923
q001,multihop,0.3888888888888889,2.8333333333333335,0.5628148148148148,0.3140925925925926,0.47195597012955215,0.0010625333333333332,15.288485646247864
q002,multihop,0.5555555555555556,2.5,0.4832925925925926,0.5858333333333333,0.40157032290412675,0.001126803888888889,11.828430745336744
q003,multihop,0.6666666666666666,4.333333333333333,0.28359285714285715,0.04722222222222222,0.2415298639465578,0.0020916366666666668,14.437289542622036
q004,multihop,0.7222222222222222,3.6666666666666665,0.2547037037037037,0.1761111111111111,0.4275432643254106,0.0008853066666666667,15.402711616622078
q010,temporal,0.6666666666666666,3.7222222222222223,0.43072222222222223,0.29455555555555557,0.28420871412856763,0.0009293055555555555,13.286138547791374
q011,temporal,0.5,3.4444444444444446,0.5991666666666666,0.16944444444444443,0.30321161015203785,0.0009724350000000001,16.734900249375237
q012,temporal,0.2222222222222222,2.388888888888889,0.19773888888888888,0.5026111111111111,0.21843901993441117,0.0012476166666666668,13.248126122686598
q013,temporal,0.8333333333333334,4.388888888888889,0.42496666666666666,0.050972222222222224,0.33348181502078844,0.0009144216666666666,13.77686177359687
q014,temporal,0.2222222222222222,2.7777777777777777,0.3682111111111111,0.18372222222222223,0.2922112079810082,0.0010001722222222223,14.492966069115532
