suite,condition_id,retriever,max_steps,process_feedback,quality_reweight,judge_mode,qa_count,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,exact_match,reference_episode_recall,trajectory_length,elapsed_seconds,cost_usd
main,main__bm25__steps2__judge0__quality0__modenone,bm25,2,False,False,none,87,0.8390804597701149,4.367816091954023,0.42193524904214563,0.0,0.3709822452454631,0.0,0.5593869731800766,2.0,22.88257875387696,0.0038352080459770114
main,main__bm25__steps2__judge0__quality1__modenone,bm25,2,False,True,none,87,0.735632183908046,4.287356321839081,0.4112313446451378,0.004137931034482759,0.3644815658838219,0.0,0.5795019157088123,2.0,14.992095103209046,0.0027192839080459772
main,main__bm25__steps2__judge1__quality0__modeprocess,bm25,2,True,False,process,87,0.735632183908046,4.241379310344827,0.3868394636015326,0.012643678160919542,0.3634479200579687,0.0,0.553639846743295,2.0,65.48055386269229,0.00881540459770115
main,main__bm25__steps2__judge1__quality1__modeprocess,bm25,2,True,True,process,87,0.735632183908046,4.195402298850575,0.39964240102171134,0.017011494252873564,0.36887589224505035,0.0,0.5660919540229885,1.9885057471264367,86.68256357620503,0.008683545977011493
main,main__bm25__steps3__judge0__quality0__modenone,bm25,3,False,False,none,87,0.7471264367816092,4.149425287356322,0.396249947753396,0.001724137931034483,0.37346714683519383,0.0,0.6139846743295019,2.8850574712643677,31.62102641182384,0.005938444827586206
main,main__bm25__steps3__judge0__quality1__modenone,bm25,3,False,True,none,87,0.7701149425287356,4.344827586206897,0.38227821565407777,0.003793103448275862,0.3728807491746791,0.0,0.6091954022988506,2.8735632183908044,17.84472212298163,0.004318433333333333
main,main__bm25__steps3__judge1__quality0__modeprocess,bm25,3,True,False,process,87,0.6896551724137931,4.149425287356322,0.4202594459180666,0.0011494252873563218,0.3735808880649991,0.0,0.6350574712643678,2.9655172413793105,63.41649155781187,0.01098121264367816
main,main__bm25__steps3__judge1__quality1__modeprocess,bm25,3,True,True,process,87,0.6781609195402298,4.0344827586206895,0.4277766283524904,0.008160919540229886,0.36791273282124726,0.0,0.5814176245210728,2.896551724137931,54.26655359377806,0.011451683908045978
main,main__bm25__steps4__judge0__quality0__modenone,bm25,4,False,False,none,87,0.7471264367816092,4.275862068965517,0.44329246487867174,0.014942528735632184,0.3781872376956415,0.0,0.6590038314176245,3.6436781609195403,35.18175472610298,0.009003634482758621
main,main__bm25__steps4__judge0__quality1__modenone,bm25,4,False,True,none,87,0.7816091954022989,4.160919540229885,0.4073930304688926,0.04827586206896552,0.3582476337505358,0.0,0.5948275862068966,3.3448275862068964,89.39774693839851,0.00882060459770115
main,main__bm25__steps4__judge1__quality0__modeprocess,bm25,4,True,False,process,87,0.7241379310344828,4.126436781609195,0.39148752314432894,0.013793103448275862,0.3606162685468339,0.0,0.6302681992337165,3.735632183908046,118.22188430544973,0.015993359770114943
main,main__bm25__steps4__judge1__quality1__modeprocess,bm25,4,True,True,process,87,0.8275862068965517,4.2988505747126435,0.43103627306507636,0.016436781609195403,0.37461797398097946,0.0,0.657088122605364,3.8045977011494254,77.0207113424937,0.015027995402298851
main,main__embedding__steps2__judge0__quality0__modenone,embedding,2,False,False,none,87,0.735632183908046,4.149425287356322,0.6222183908045977,0.05919540229885058,0.4014244220731822,0.0,0.5680076628352491,1.896551724137931,42.72549112911882,0.003295798735632184
main,main__embedding__steps2__judge0__quality1__modenone,embedding,2,False,True,none,87,0.735632183908046,4.0,0.5294214559386973,0.0917816091954023,0.3829441589295873,0.0,0.5478927203065134,1.8735632183908046,64.33633725396518,0.0052675202298850575
