suite,condition_id,retriever,max_steps,process_feedback,quality_reweight,judge_mode,qa_count,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,exact_match,reference_episode_recall,trajectory_length,elapsed_seconds,cost_usd
main,main__bm25__steps2__judge0__quality0__modenone,bm25,2,False,False,none,20,0.5,3.5,0.21139999999999998,0.29300000000000004,0.34411180264826036,0.0,0.7,2.0,8.129688608646394,0.000557105
main,main__bm25__steps2__judge0__quality1__modenone,bm25,2,False,True,none,20,0.5,3.1,0.2875,0.35100000000000003,0.3240416845114724,0.0,0.6833333333333333,2.0,8.399515473842621,0.00056101
main,main__bm25__steps2__judge1__quality0__modeprocess,bm25,2,True,False,process,20,0.6,3.6,0.33965,0.17815,0.331894123173405,0.0,0.5833333333333333,2.0,16.748537480831146,0.000769505
main,main__bm25__steps2__judge1__quality1__modeprocess,bm25,2,True,True,process,20,0.4,3.25,0.21517857142857144,0.24064999999999998,0.3200583057580916,0.0,0.6416666666666667,2.0,43.70696449279785,0.0007221199999999999
main,main__bm25__steps3__judge0__quality0__modenone,bm25,3,False,False,none,20,0.3,2.85,0.253315,0.31066666666666665,0.3274334715905269,0.0,0.7583333333333333,3.0,8.341113424301147,0.0008199349999999999
main,main__bm25__steps3__judge0__quality1__modenone,bm25,3,False,True,none,20,0.6,3.25,0.2226,0.330665,0.32942859603084884,0.0,0.7333333333333333,3.0,9.282731795310974,0.00080804
main,main__bm25__steps3__judge1__quality0__modeprocess,bm25,3,True,False,process,20,0.4,3.0,0.30135,0.2913,0.3370217952614647,0.0,0.7083333333333333,3.0,19.422559463977812,0.00113394
main,main__bm25__steps3__judge1__quality1__modeprocess,bm25,3,True,True,process,20,0.35,2.9,0.2621,0.35875,0.3257933629375561,0.0,0.7666666666666666,3.0,18.56154069900513,0.001131555
main,main__bm25__steps4__judge0__quality0__modenone,bm25,4,False,False,none,20,0.45,3.3,0.29063,0.32915,0.32801404894610525,0.0,0.8083333333333333,3.9,13.488349044322968,0.00111156
main,main__bm25__steps4__judge0__quality1__modenone,bm25,4,False,True,none,20,0.35,2.5,0.31248,0.4293,0.3175996699057571,0.0,0.775,3.95,11.848961210250854,0.00113316
main,main__bm25__steps4__judge1__quality0__modeprocess,bm25,4,True,False,process,20,0.4,3.25,0.3082,0.33285,0.34666567666343673,0.0,0.775,3.95,27.248721134662627,0.0014935550000000001
main,main__bm25__steps4__judge1__quality1__modeprocess,bm25,4,True,True,process,20,0.55,3.4,0.30355,0.32925,0.3418386418197404,0.0,0.8333333333333334,3.95,31.161325025558472,0.001568935
main,main__embedding__steps2__judge0__quality0__modenone,embedding,2,False,False,none,20,0.3,2.9,0.4315785,0.29765,0.3294630449589376,0.0,0.7166666666666666,2.0,9.203857946395875,0.000541443
main,main__embedding__steps2__judge0__quality1__modenone,embedding,2,False,True,none,20,0.45,3.2,0.371035,0.2875,0.33798431990230315,0.0,0.7333333333333333,2.0,9.505156672000885,0.0005382415
main,main__embedding__steps2__judge1__quality0__modeprocess,embedding,2,True,False,process,20,0.3,2.9,0.42568333333333336,0.33,0.33307858924752726,0.0,0.725,2.0,46.189234256744385,0.0007797850000000001
main,main__embedding__steps2__judge1__quality1__modeprocess,embedding,2,True,True,process,20,0.4,3.1,0.5128985,0.317865,0.3634524531592721,0.0,0.7166666666666667,2.0,52.27212538719177,0.000808524
main,main__embedding__steps3__judge0__quality0__modenone,embedding,3,False,False,none,20,0.4,3.15,0.4305111111111112,0.34371666666666667,0.35126201219851516,0.0,0.7833333333333333,2.85,10.810087168216706,0.0007917314999999999
main,main__embedding__steps3__judge0__quality1__modenone,embedding,3,False,True,none,20,0.4,2.75,0.39712227272727274,0.382735,0.3677124088570569,0.0,0.7833333333333333,2.85,10.77635325193405,0.0007720155
main,main__embedding__steps3__judge1__quality0__modeprocess,embedding,3,True,False,process,20,0.5,3.45,0.46098333333333336,0.27016666666666667,0.34449916042366985,0.0,0.6833333333333333,2.95,25.173675286769868,0.0011631895
main,main__embedding__steps3__judge1__quality1__modeprocess,embedding,3,True,True,process,20,0.6,3.35,0.350615,0.2818,0.3574878590624926,0.0,0.6666666666666667,2.95,92.70137544870377,0.001130537
main,main__embedding__steps4__judge0__quality0__modenone,embedding,4,False,False,none,20,0.45,2.95,0.3847,0.39905,0.3694341471827475,0.0,0.85,3.6,100.63678859472274,0.0010150265
main,main__embedding__steps4__judge0__quality1__modenone,embedding,4,False,True,none,20,0.55,2.9,0.40795000000000003,0.38675000000000004,0.3690814030424168,0.0,0.85,3.6,21.15525984764099,0.0009695485
main,main__embedding__steps4__judge1__quality0__modeprocess,embedding,4,True,False,process,20,0.45,3.15,0.34631666666666666,0.324952380952381,0.3790446877083785,0.0,0.8083333333333333,3.9,117.54108072519303,0.0014906455
main,main__embedding__steps4__judge1__quality1__modeprocess,embedding,4,True,True,process,20,0.35,3.15,0.38425,0.35,0.3623958756812625,0.0,0.7333333333333333,3.65,27.522382080554962,0.0014083470000000001
